review,rating,categories
Easy and Comvenient to use.,3,user friendliness / transaction flexibility
"It was 5 star before but now I'll give you one star! Been a long time and loyal customer, never missed any payment and now you can't grant me a loan without giving me any valid reason? Good company value their customer!",1,leniency
"the worths costumer representatives! they will send you 10 messages every after an hour pag due ka. and their approach ay the worst approach parang hindi sila naturuan sa costumer service manner.. para kang nagnakaw, i was also missled sa due dates, hihiram ka tapos after 1 week ka pala magbayad and ang laki ng interest niya..",1,leniency
User friendly. It's the online banking i could trust for. More power! 😍,5,user friendliness
Application crashes when I'm trying to pay my card.,2,transaction approval
"Unreliable and disappointing app, otp takes forever to receive.",1,security features /  transaction speed
"Always have unknown, unforseen, uninformed maintenance or lagging issue when you have to use it for money transfer during payday. Worst mobile banking ever. Customer service are hard to reach as well. No help available when you need them the most.",1,maintenance /  customer service
So annoying this up. Bastos sila kausap. Bayad kana ngsend parin ng message.,1,customer service
"Very bad experience to this app I pay early so my credit will increase but what happened is the opposite I just deposited 1000 to increase my credit limit. But my currently limit was cleared and I kept on messaging my concern to customer service but until now they cannot solve my concern. At first, I recommend this app to my friends but what happened is such a disappointment, that's why I don't recommend this app.",1,transaction legitimacy
My experience is so very easy to installment a phone I got a new phone thanks very legit,5,app installation
"Nice app, having difficulty only on face scanning after that smooth registration process.",4,registration
"Always, fixing a connection issue.",1,loading speed
Fast transaction hindi sobrang taas ng interest,5,transaction speed /  loan interest
nice up easy to loan,5,transaction speed
"truly this app 8s a loan shark,they are theathening you once you are delayed to pay your repayment and never stop sending random threatening message to your inbox such a terrible app",1,leniency
"Super convenient, madali lang gamitin, madali lang rin makapag process for verification hindi pa maghihintay ng (1 week) at no charges fee pag mag ka cash-in.👍🏻👍🏻 (for this app)",5,transaction speed
"I've been using GoTyme Bank for a while now, and I'm really impressed with the services it offers. It's design makes it very efficient for transactions, amd I can keep track of my finances using the app. The high-interest rate in the Savings option is also a plus!",5,user friendliness /  feature accessibility /  savings interest
Quick and easy transaction..,4,transaction speed
"Hope that we can open multiple accounts which we can also put labels on. Overall, ur app is user-friendly and i love ur high interest rate",4,registration /  user friendliness /  savings interest
Great app been using this since last year .For loads and emergency purchase if you don't have cash on hand they let me have a virtual credit card which is very convenient (Total Credit limit of 8k for now),5,transaction speed
"Ang galing pala nitong Plentina, mababa ang Interest ng Load sa Smart.",5,loan interest
Thank you napadali mo buhay q.,5,user friendliness
Bank transfer insta pay have a fees how worse digital bank!!!!!!,1,transaction fees
"Difficult to use, customer service is generally unhelpful",1,user friendliness /  customer service
"Thank you OLP! for approving my loan..kailangan sa link lang mag apply siguro para mas mabilis kasi pag sa app nila tagal pati confirmation..maaasahan mo tlga kapag gipit ka..at isa sa nagustuhan ko ky OLP, sa 1000 is 45 lang kinukuha nila makakarcvd ka kaagad ng 955 sa gcash mo.. at ibbalik mo lang ng 1000 sakana within 10days not bad diba..thank you OLP!",5,transaction approval
Very fast system,5,transaction speed
Easy to communicate with :) approved immediately my cash loan trusted,5,transaction speed /  transaction approval
easy and in time that you need they give,5,transaction speed
It's okay at first. But after few days of using it. The service is not good because it's not updated.,1,feature accessibility
Not all accounts is showing and not able to add my accounts in new app. This older app is much much better to use.,5,feature accessibility
Excited na akong gamitin tong app nila kaya napa download na din ako! Tapos nalaman ko pa na ang itong GoTyme Bank ay may pa free transfer to other bank three times per week to and pwede pang i-convert to cash ang rewards dito oh. Kaya download niyo na rin to. And create na rin kayo ng Go Save para ma enjoy ang 5% interest rate p.a sa savings niyo 💙 🥰🥰,5,user incentive
"My online Banking is not Working , coz they were asking for OTP, It used to worked , n I transferred a large amount ,,, not. Why it is not possible? Got a big problem! Can't pay my Utilities n everything! Hope u do something but this! Called them, talked to them, but still NO RESPOND?? What an Apps!!!!",1,security features /  customer service
Legit and very fast lending app,5,transaction speed
Why are the navigation buttons at the top of the screen? Doesn't all mobile devices use navigation buttons/gestures at the bottom of the screen? Still no way to exit the app aside from selecting all running apps and closing it from there.,1,user friendliness
"This app is easy to use , fast and reliable in times of need.",5,user friendliness
Bumagal yung app nung nag try ako ng Borrow Cash. Ang hirap na iaccess ng app,1,loading speed
Wag kayo magloloan dito. Mga walang modo at mga unprofessional ang mga staff dito. Kung magfollow up kulang nlng ay murahin kyo. Hindi pa natatapos ang dur date grabe na ang mga sinasabi. Halos isumpa na kung magtxt.,1,customer service
Cannot register my account to this apps it always say Online Banking Enrollment Cannot Process at this time..,2,registration
"hope that we can retain this app (just update not totally change by new beta version). or give other option to update contact number without going to the branch, like via e-mail for those out of the country",5,feature accessibility
"I used it a few times, I am very satisfied, the review is fast, and the account is fast.",5,transaction speed
Its good to have a komo apps.because it gives you a easy way to use online banking..but now I cant open my komo apps due to my new device.. I hope you notice my concerned thank you❣️,1,app installation
"Difficult to navigate, and you took out the ability to buy loads for celphones",1,user friendliness /  feature accessibility
I cannot use the app anymore..ive update it in a newer version but it cant be open.,1,app installation
0/5 so irritating!!! stop bugging me with your offers! I'M NOT INTERESTED!!!,1,ads
"Moving funds using the app is bad, customer service much worse.",1,transaction flexibility /  customer service
I will not recommend this app to everyone . Its irritating 1 deposit 1k and i just loan amount of 900 and They are always bugging me thru text and call to pay pay pay . Gosh worst experience ever to a loan app.,1,leniency
Super fast transaction and I love it bill ease can easily help you when you need it.,5,transaction speed
Not useful and too hassle to set up. Can't event recognise the correct information. This should be taken down. UB is better than this. So disappointed and frustrated.,1,user friendliness
Happy with the this app. I will keep this app because it helps me especially emergency situation.,5,transaction speed
App update is not allowing biometric login anymore. Annoying to use pw.,1,security features
Fast and Low service fee.👍,5,transaction speed /  transaction fees
"I cannot get my activation code even my net connection is strong. It always says, sorry you can't process.. How CAN I do online banking if I cannot even register? Pls help. Thanks much! ..... It's WORSE now, it says I cannot process because I provided inaccurate information? Like, How? Why is it so difficult to Register on your mobile pine banking?",1,registration
"wowpera has been a great help in times of need.Been using this multiple time now.This is recommendable because it helps people compare to other Loan App.Don't be deceived w/ other App who offers fast loan! Most of them do not disclose the repayment date and their high amount of charges that will shock you once you submit your loan! So better use wowpera for emergency, the rate is very reasonable & acceptable! It helps me that much! Promise",5,loan interest /  leniency
Easy to use apps,5,user friendliness
I cannot transfer money using the app. It always automatically log me out. What is the purpose of this app? Balance inquiry only?,1,feature accessibility
"The app is good, didn't have any loans yet. Might apply later for emergencies. Accessible.",5,user friendliness
"Helped me a lot financially. This application is also a safe, reliable and trustworthy application. This application is included in the flash loan platform. The payment process is also fast and doesn't take long. If the returns meet the rules and conditions, the interest in the app is low and the limit increases quickly. The payment method can also be paid in instalments at low interest rates. Application is also simple. Don't worry, this app is also registered and licensed, so the data is autom",5,transaction legitimacy /  transaction speed / transaction flexibility /  leniency /  user friendliness /  loan interest
I'm still waiting for my approval.. hope it's approved .. easy to fill up information..,5,user friendliness /  transaction approval
easy and soft transactions,5,transaction speed
"Amazing apps. One request additional option of payout or payment. Add government, sss, pH and pagibig. Investment option and retail option also. If you can make it international payment also, in Japan, Korea, etc. Either for ATM or payment as in digital. Rate 10 star.",5,transaction flexibility
"Thank you Mr.Cash for the fast transaction, it would be a great help",5,transaction speed
Very convenient to use! Hassle free talaga! Glad that I Discovered this app. Very user friendly ng interface and easy to navigate,5,user friendliness
"Hello,i am been trying to appoint a vediocall for my online application i always get error message which i can not continue my application.hoping for assistance soon.thank you.",3,feature accessibility
good service to your client verry profesional the way you accept cliant,5,customer service
Super duper very LOW amount plus many deduction fees!,2,loan interest
Very easy to apply .. fast and convieniece,5,user friendliness / transaction flexibility
The app is good and it does the job. But the app does not support motions and gestures which is much more convenient. Please include this to make the app more user friendly and modern,4,user friendliness
This apps is spam not useful according to me and my experience automatic reject is not what you think,1,transaction approval
Fast and easy to apply,5,user friendliness /  transaction speed
Please stop texting and calling me.. I'm not interested! You are so annoying! Ang dami dami nyong num! How many times i blocked your num panay pa rin ang text at tawag nyo!,1,data privacy
"Do not loan from this app. On your due date, they will harass you and force you to pay before 12 noon. If you won't, they will harass you and send messages to your reference contacts. An agent of theirs even admitted to their illegal interest rates. They can be sued for unfair collection practices. I repeat, DO NOT LOAN FROM THIS APP. I suggest Billease, Mr. Cash, and Tala. Really good apps with interest rates that are humane. Their agents are pleasant to talk to as well. No screaming.",1,leniency /  customer service /  loan interest
Ang panget ng new service. I can't even pay my bills which the Home Credit. it is always failed..Mas mabuti pa yung old app ang dali makapagbayad. Na ano kayo?,2,feature accessibility
Useless bank especially when the time you really need to transfer funds for emergency usage,1,transaction speed
Always crashing,1,feature accessibility
I lost my funds. It did not reflect to my GCash. App full of bugs. No tech support. None. No one will help you. I recommend SEA Bank much better.,1,transaction legitimacy /  transaction speed /  customer service
"Love it ,so far one of the best bank out there ,i have horrible experience to other banks and finding GoTyme is seriously a game changer to me, the App itseld is userfriendly, interface is easy to navigate, not even talking the 5% p.a in Gosave. love the experiene so far.",5,user friendliness
I love how easy and smooth the app is. Super convenient and I know that this is worth trusting.,5,user friendliness
Very high amount lessen to approved loan not convenient and very high interest in installment,3,loan interest
"great app, easy to use.",5,user friendliness
The apps is too slow to open it takes a minutes to.open your account,1,loading speed
This is good loan app but a little bit higher interest specifically the Doctors electronics and guarantee fee,5,loan interest
Too many hiden charges.,1,transaction legitimacy
May experience is not good because while registering its always error at the end try again later,1,registration
"I love this app, napaka convenient, i can pay , withdraw cash and earn points kahit saan, free at mas mababa ang transfer fee sa other bank kesa sa ibang app at pwede ako dito mag receive ng money galing abroad..",5,transaction flexibility /  transaction fees
"I'll rate Skyro a 2 star, I've been applying for several times and I know I can pay and finish my loan amount. but this Skyro doesn't want me to be their client for some reason. so ,for the app itself, it's convenient and straight forward to use. Ill rate the app a 4 out of 5 stars",3,registration /  user friendliness
Scam not recommended to download this app this is not helpful be careful with your personal information,1,data privacy
The app is good and it helps a lot but the collectors are rude and harassing the borrower's reference even if it still within the due date... I hope you make actions about your collectors or I will file a complain about it I have all the screenshots they keep bugging my reference,1,customer service
the releasing is fast and requirement is easy to comply.,5,transaction speed
Disable dev menu check since that is not a security threat LOL.,1,security features
It's really difficult to register and log in. . It always says error occur.,2,registration
Very easy to use,5,user friendliness
Such a great app to have. Very easy to use.,5,user friendliness
"This is my first time using this app, just wishing not to have too high fees and interest, so as to be true to your objective of helping others. please be generous in considering the length of mode pf payment. Sana makakahinga din ang mga borrowers like us.",5,loan interest /  leniency
This app lets you cash out early when you need it! ! !,5,transaction speed
There is an error on entering your card details when you try to register or sign up for an account. Ive tried 20x still no success. Please fix it. Very poor digital app. This is an online banking app and it should be reliable for its user and error should be minimal. Feels like your compromising your details with all the error that is showing.,1,registration
"I like the UI of this app. It's minimalistic & easy to navigate. Its savings account feature really is the one that caught my eye, with 5% p.a. And I got a debit card for free as well. But its missing a pay bills option, which is a bummer. This could've replaced my e-wallet already. And the QR scanner still doesn't support bank transfers, only for payment in stores.",5,user friendliness /  savings interest /  user incentive /  feature accessibility / transaction flexibility
Your application sucks and frustrating. Every time i try to capture my id to upgrade my account verification i got quit and the process restart.,1,registration
Can't open BDO online!! How come can we use this new application (BDO online)? Fixed the bugs first before replacing BDO digital banking app.,1,app installation
Nakakaasar gamitin when you're outside the country... Pag nag fund transfer ka Ang hirap Kasi me 1time otp na Hindi Naman sa email pumasok kundi sa registered Ph number which most probably you can't use or have a signal while abroad.,1,transaction flexibility
thankyou very much UnoBank a friendly app is easy to use ..,5,user friendliness
App crashes on start up,1,app installation
"I opened a savings account via the Gcash app but unfortunately I can't login on the app and I can't sign up for an account as well since the error says that I already have an existing account. So technically if you opened an account via the Gcash app you can no longer login using UNO app since there is no option to login using your GCash credentials, which is frustrating as I wanted to check my profile and other account information.",1,registration
Unable to create account even if the data is correct🤣🤣🤣 stupid app. Enroll button took days before it went to the enroll form. 🤣🤣🤣🤣 who created this app?,1,registration
Super easy lang and safe mag save ng money here at GoTyme Bank. download nyo na din guys for sure lagi nyo eto gagamitin,5,transaction legitimacy /  user friendliness
"My main issue is just on security. Anybody who knows my username and passcode can easily have access on my app and on transfers. There's no extra layers of security such as MFA or OTP. Accessing app also only requires a 6-digit passcode, which can easily be brute-forced.",2,security features
"Same sentiments with other users. Need more improvement on your end. Please work on it, so it could be convenient on our part as your account holders. Just please do it.",1,user friendliness
"Wala naman gaanong problema sa app. Hindi ko pa sinusubmit ung application ko. I tried to install it and see if it was worth it. Pero mataas ang fees na halos 50% na lang ang makukuha mo sa hihiramin mo. Then the repayment is just within 7 days at one time big time bayaran. May tumawag sa akin, CS (customer service) ng lemon loan about having my application approved. The thing is hindi nakikineg yung CS sa mga sinasabe ko at habang nagsasalita ako eh nagsasalita din siya. VERY RUDE!",2,registration /  loan interest /  leniency /  customer service
Way ayo nga app.. dako kaau og interest mga gipang atay panggabaan pa unta mo noh. Ayaw gyud ni ninyo gamita kamo ray makalolooy.😈😈😈😈😈😈😈😈,1,loan interest
"The app is buttery smooth on latest mobile phone, please add also the balance inquiry outside the app same like the old app. Thank you.",4,loading speed /  feature accessibility
"Fast, easy and convenient",5,transaction speed /  user friendliness / transaction flexibility
Ok na to kahit medyo malaki yung interest,3,loan interest
3 stars for now. Theres still more room for the development of the app. I hope they will add the CARDLESS WITHDRAWAL feature which is present in the old version. Its the most convenient way to withdraw money when you forgot your card. Also please fix the problem when paying bills like HomeCredit. Thank you.,3,feature accessibility
Ok nmn sya medyo mataas lng interest but in emergency so far so good.,4,loan interest /  transaction speed
"This new App is a downgrade of the old app.. the app is SUPER LAG, MP-code is not received within the 60s time limit.. basically useless application.. might transfer all my funds to my other bank account and let this account be closed..",1,loading speed
"I could not finish the application because in the final step the app is saying 'Error Please input a valid email address' but the final step did not have any field for the email address. Also, upon restarting the app to try to redo my application, it won't accept my 6 digit passcode/ pin for the app anymore.",1,registration
Still very laggy just like all other BDO apps. After a few weeks. Its still super laggy. Transfer feature is very bad. This is the worst banking app in the Philippines. Please do something about it.,1,loading speed
My account has been blocked because of wrong pin though it is right and now I cant withdraw my cash through atm it a hassle really. I went to rcbc branch nearby and they said they fixed the problem through customer service but when I was trying to withdraw it just said my transaction was not allowed. My account has been blocked while I was registering in this app.,1,security features
"The interest is high. 3000 was approved but I got 2,100. I hate calling. We signed it so we knew what are our accountabilities. Not recommendable",1,loan interest /  transaction legitimacy
Lageng down. Lageng unable to process. Tagal tagal pa magload. Sayang oras,1,loading speed
Mabilis maasahan SA kagipitan salamat,5,transaction speed
"Takes too long to update transaction and when it does, they are not accurate. The date of transactions are not the actual date you made it but the date when they made an update.",2,transaction speed
"Thankful for their service, very reliable and secure.",5,transaction legitimacy
can't be trusted any time. i need a quick cash but when i proccess a transaction the app always close.,1,transaction speed
very fast approval,5,transaction speed
Ang tagal magresponce kpag SA pagpicture na Ng face ano po maganda gawin,3,registration
"Useless app.. Always has issues, very unreliable.",1,loading speed
"I am not agreed with the features of your application, very old style. overall paki improve ng application niyo po.",1,user friendliness
fast and easy transactions,5,transaction speed
Verification code OTP does not work even if you enter the correct code.. it always say something is not right try again. So frustrating.,1,security features
"Good app! Hassle-free transfers, and nice minimalist card design.",5,user friendliness /  transaction speed
I am so happy that I found GoTyme Bank and downloaded it coz I can finally save more and enjoy the best features of this app.,5,loan interest /  feature accessibility
Too much glitch and app issue,2,loading speed
Always in a high volume... We have bills to pay.,1,loan interest
App friendly.. Easy to use. However.. Still waiting for my application update.,5,user friendliness
Very flexible offers . Highly recommended,5,transaction flexibility
Bad experience with bank transfer via pesonet!! Two transactions failed. They didn't return money asap. Until now I have been waiting. The money is urgently needed,1,transaction legitimacy
"woow! very easy access, lowest interest rate for a long term payment",5,user friendliness /  loan interest
Hassle free because no need to go to bank. Very convenient to pay all my utility bills.,5,transaction flexibility
"Fast loan, and good customer service",5,transaction speed /  customer service
"I was initially skeptical about using an online loan app, but pesobuffet has completely changed my perception. The process was so easy and convenient, and the interest rate was competitive too!",5,transaction speed /  loan interest
Friendly user,5,user friendliness
Walang kwentang apps na to wag nyo na i download dahil in otp nila sa email 30 to 40 minutes dumating pero 5 minutes lang expire na un ndi din kayo makaka sign bobo tong app na to,1,security features
"Best digital banking and free ATM card free transfers to other bank and 5% savings interest, and it's easy to use.",5,transaction fees /  savings interest
App no longer works. Its very hard to get a hold of a customer service representative from Citi bank due to their faulty operator system which I believe needs more updating to do.,1,customer service
Napaka useful lalo na ngayong panahon ng quarantine,5,transaction flexibility
Keeps restarting,1,app installation
mabilis ang approval . walang hassle. hindi lang maintindihan ung pliwanag Ng loan officer thru phone..kinkain Kasi salita.. pero service is very good,5,transaction speed /  transaction approval /  customer service
This new app gives me a lot of stuff to do. Ni hindi ako maka log in dito sa bagong app na toh. My account even got locked out because of this. What a disapointment!,1,registration
